Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60526802,"Stella Maris (The Passenger, #2)",Cormac McCarthy,"McCarthy, Cormac",,"=""0307269000""","=""9780307269003""",5,3.88,Knopf,Hardcover,190,2022,2022,2023/06/21,2023/06/20,,,read,,,,1,0
5485,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060850523""","=""9780060850524""",4,3.99,Harper Perennial Modern Classics,Paperback,288,2006,1932,,2011/05/20,,,read,,,,2,0
78296961,The Battle of Maldon: Together with the Homecoming of Beorhtnoth,J.R.R. Tolkien,"Tolkien, J.R.R.",Peter Grybauskaus,"=""0063338181""","=""9780063338180""",5,3.89,William Morrow,Hardcover,208,2023,2023,2023/06/06,2023/06/06,,,read,,,,1,0
51606,Johnny Got His Gun,Dalton Trumbo,"Trumbo, Dalton",Ron Kovic,"=""0806512814""","=""9780806512815""",1,4.20,Citadel,Paperback,309,1998,1939,2023/06/06,2023/06/06,,,read,,,,1,0
9300768,The Heroes,Joe Abercrombie,"Abercrombie, Joe",,"=""0316123358""","=""9780316123358""",4,4.33,Orbit,ebook,581,2011,2011,2023/06/04,2023/06/04,,,read,,,,1,0
33784345,Mythology: Timeless Tales of Gods and Heroes,Edith Hamilton,"Hamilton, Edith",Jim Tierney,"=""0316438529""","=""9780316438520""",5,4.03,Black Dog & Leventhal,Hardcover,371,2017,1942,2023/05/24,2014/08/06,,,read,,,,1,0
40651772,Best Served Cold,Joe Abercrombie,"Abercrombie, Joe",,"=""""","=""""",4,4.23, Orbit,Kindle Edition,664,2009,2009,2023/05/20,2023/05/20,,,read,,,,1,0
61282437,The Ferryman,Justin Cronin,"Cronin, Justin",,"=""052561947X""","=""9780525619475""",3,3.93,Ballantine Books,Hardcover,538,2023,2023,2023/05/14,2023/05/13,,,read,,,,1,0
81073794,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",2,4.09,Tor Books,Hardcover,400,2023,2006,2023/03/30,2023/03/30,,,read,,,,1,0
14844713,"Euripides II: Andromache, Hecuba, The Suppliant Women, Electra",Euripides,"Euripides, Euripides","Mark Griffith, Glenn W. Most, David Grene, Richmond Lattimore","=""0226308782""","=""9780226308784""",5,4.16,University of Chicago Press,Paperback,277,2013,2013,2023/03/26,2023/03/26,,,read,,,,1,0
544058,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769533""","=""9780316769532""",5,3.80,Back Bay Books,Hardcover,277,2010,1951,2023/03/25,2023/03/24,,,read,,,,1,0
61358638,"Poverty, by America",Matthew Desmond,"Desmond, Matthew",,"=""0593239911""","=""9780593239919""",1,4.28,Crown,Hardcover,284,2023,2023,2023/03/24,2023/03/24,,,read,,,,1,0
164154,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,"Jr., Walter M. Miller",Mary Doria Russell,"=""0060892994""","=""9780060892999""",5,3.98,HarperCollins EOS,Paperback,334,2006,1959,2023/03/23,2023/03/22,,,read,,,,1,0
14844718,"Euripides I: Alcestis, Medea, The Children of Heracles, Hippolytus",. Euripides,"Euripides, .","Glenn W. Most, David Grene, Richmond Lattimore, . Euripides","=""0226308804""","=""9780226308807""",5,4.01,University of Chicago Press,Paperback,265,2013,-428,2023/03/22,2023/03/22,,,read,,,,1,0
60613920,"Of Boys and Men: Why the Modern Male Is Struggling, Why It Matters, and What to Do About It",Richard V. Reeves,"Reeves, Richard V.",,"=""1800750544""","=""9781800750548""",2,4.10,Swift Press,Hardcover,298,2022,2022,2023/03/21,2023/03/21,,,read,,,,1,0
152128,The Odyssey,Homer,"Homer, Homer",Robert Fitzgerald,"=""""","=""""",5,3.81,Everyman's Library,Hardcover,509,1992,-700,,2011/05/20,,,read,,,,2,0
